candidate_id,system_id,parent_structure,perturbation_parameter,perturbation_direction,var_label,perturbation_family,expected_physical_effect,magnitude,magnitude_bucket,audit_status,rejection_reasons,is_duplicate_of,selected_as_representative,selection_reason
ni_co4__tetra_angle_perturb_deg__-3,ni_co4,ni_co4_initial,tetrahedral_angle_perturbation_degree,negative,tetrahedral_angle_perturbation_degree,Tetrahedral angle distortion,Breaks ideal Td angle locally; probes angular bending stiffness.,-3.0,small,accepted,[],,False,not selected: another candidate in Tetrahedral angle distortion was preferred for this system/sign slot
ni_co4__tetra_angle_perturb_deg__+3,ni_co4,ni_co4_initial,tetrahedral_angle_perturbation_degree,positive,tetrahedral_angle_perturbation_degree,Tetrahedral angle distortion,Breaks ideal Td angle locally; probes angular bending stiffness.,3.0,small,accepted,[],,False,not selected: another candidate in Tetrahedral angle distortion was preferred for this system/sign slot
ni_co4__tetra_angle_perturb_deg__+6,ni_co4,ni_co4_initial,tetrahedral_angle_perturbation_degree,positive,tetrahedral_angle_perturbation_degree,Tetrahedral angle distortion,Breaks ideal Td angle locally; probes angular bending stiffness.,6.0,small,accepted,[],,False,not selected: another candidate in Tetrahedral angle distortion was preferred for this system/sign slot
cr_co6__mc_dist__-0.06,cr_co6,cr_co6_initial,cr_c_distance_angstrom,negative,cr_c_distance_angstrom,Metal-ligand stretch,Direct Cr-C bond stretch/compression; probes the primary bonding interaction.,-0.06,large,accepted,[],,False,not selected: another candidate in Metal-ligand stretch was preferred for this system/sign slot
cr_co6__mc_dist__-0.03,cr_co6,cr_co6_initial,cr_c_distance_angstrom,negative,cr_c_distance_angstrom,Metal-ligand stretch,Direct Cr-C bond stretch/compression; probes the primary bonding interaction.,-0.03,small,accepted,[],,False,not selected: another candidate in Metal-ligand stretch was preferred for this system/sign slot
cr_co6__mc_dist__+0.03,cr_co6,cr_co6_initial,cr_c_distance_angstrom,positive,cr_c_distance_angstrom,Metal-ligand stretch,Direct Cr-C bond stretch/compression; probes the primary bonding interaction.,0.03,small,accepted,[],,False,not selected: another candidate in Metal-ligand stretch was preferred for this system/sign slot
cr_co6__mc_dist__+0.06,cr_co6,cr_co6_initial,cr_c_distance_angstrom,positive,cr_c_distance_angstrom,Metal-ligand stretch,Direct Cr-C bond stretch/compression; probes the primary bonding interaction.,0.06,large,accepted,[],,True,"representative of Metal-ligand stretch family (positive direction, largest accepted magnitude in this slot)"
cr_co6__co_dist__-0.04,cr_co6,cr_co6_initial,c_o_distance_angstrom,negative,c_o_distance_angstrom,Carbonyl C-O stretch,Stretches/compresses C-O; probes M->CO pi-backdonation strength indirectly.,-0.04,large,accepted,[],,True,"representative of Carbonyl C-O stretch family (negative direction, largest accepted magnitude in this slot)"
cr_co6__co_dist__-0.02,cr_co6,cr_co6_initial,c_o_distance_angstrom,negative,c_o_distance_angstrom,Carbonyl C-O stretch,Stretches/compresses C-O; probes M->CO pi-backdonation strength indirectly.,-0.02,small,accepted,[],,False,not selected: another candidate in Carbonyl C-O stretch was preferred for this system/sign slot
cr_co6__co_dist__+0.02,cr_co6,cr_co6_initial,c_o_distance_angstrom,positive,c_o_distance_angstrom,Carbonyl C-O stretch,Stretches/compresses C-O; probes M->CO pi-backdonation strength indirectly.,0.02,small,accepted,[],,False,not selected: another candidate in Carbonyl C-O stretch was preferred for this system/sign slot
cr_co6__co_dist__+0.04,cr_co6,cr_co6_initial,c_o_distance_angstrom,positive,c_o_distance_angstrom,Carbonyl C-O stretch,Stretches/compresses C-O; probes M->CO pi-backdonation strength indirectly.,0.04,large,accepted,[],,False,not selected: another candidate in Carbonyl C-O stretch was preferred for this system/sign slot
cr_co6__axial_stretch__-0.05,cr_co6,cr_co6_initial,axial_equatorial_distortion_angstrom,negative,axial_equatorial_distortion_angstrom,Octahedral axial/equatorial distortion,Tetragonal (Jahn-Teller-like) distortion; probes Oh angular/axial stiffness.,-0.05,large,accepted,[],,True,"representative of Octahedral axial/equatorial distortion family (negative direction, largest accepted magnitude in this slot)"
cr_co6__axial_stretch__-0.02,cr_co6,cr_co6_initial,axial_equatorial_distortion_angstrom,negative,axial_equatorial_distortion_angstrom,Octahedral axial/equatorial distortion,Tetragonal (Jahn-Teller-like) distortion; probes Oh angular/axial stiffness.,-0.02,small,accepted,[],,False,not selected: another candidate in Octahedral axial/equatorial distortion was preferred for this system/sign slot
cr_co6__axial_stretch__+0.02,cr_co6,cr_co6_initial,axial_equatorial_distortion_angstrom,positive,axial_equatorial_distortion_angstrom,Octahedral axial/equatorial distortion,Tetragonal (Jahn-Teller-like) distortion; probes Oh angular/axial stiffness.,0.02,small,accepted,[],,False,not selected: another candidate in Octahedral axial/equatorial distortion was preferred for this system/sign slot
cr_co6__axial_stretch__+0.05,cr_co6,cr_co6_initial,axial_equatorial_distortion_angstrom,positive,axial_equatorial_distortion_angstrom,Octahedral axial/equatorial distortion,Tetragonal (Jahn-Teller-like) distortion; probes Oh angular/axial stiffness.,0.05,large,accepted,[],,False,not selected: another candidate in Octahedral axial/equatorial distortion was preferred for this system/sign slot
fe_co5__axial_fe_c__-0.06,fe_co5,fe_co5_initial,axial_fe_c_distance_angstrom,negative,axial_fe_c_distance_angstrom,Axial Fe-C stretch,Stretches/compresses the two axial Fe-C bonds; probes TBP axial bonding.,-0.06,large,accepted,[],,True,"representative of Axial Fe-C stretch family (negative direction, largest accepted magnitude in this slot)"
fe_co5__axial_fe_c__-0.03,fe_co5,fe_co5_initial,axial_fe_c_distance_angstrom,negative,axial_fe_c_distance_angstrom,Axial Fe-C stretch,Stretches/compresses the two axial Fe-C bonds; probes TBP axial bonding.,-0.03,small,accepted,[],,False,not selected: another candidate in Axial Fe-C stretch was preferred for this system/sign slot
fe_co5__axial_fe_c__+0.03,fe_co5,fe_co5_initial,axial_fe_c_distance_angstrom,positive,axial_fe_c_distance_angstrom,Axial Fe-C stretch,Stretches/compresses the two axial Fe-C bonds; probes TBP axial bonding.,0.03,small,accepted,[],,False,not selected: another candidate in Axial Fe-C stretch was preferred for this system/sign slot
fe_co5__axial_fe_c__+0.06,fe_co5,fe_co5_initial,axial_fe_c_distance_angstrom,positive,axial_fe_c_distance_angstrom,Axial Fe-C stretch,Stretches/compresses the two axial Fe-C bonds; probes TBP axial bonding.,0.06,large,accepted,[],,False,not selected: another candidate in Axial Fe-C stretch was preferred for this system/sign slot
fe_co5__eq_fe_c__-0.06,fe_co5,fe_co5_initial,equatorial_fe_c_distance_angstrom,negative,equatorial_fe_c_distance_angstrom,Equatorial Fe-C stretch,Stretches/compresses the three equatorial Fe-C bonds; probes TBP equatorial bonding.,-0.06,large,accepted,[],,False,not selected: another candidate in Equatorial Fe-C stretch was preferred for this system/sign slot
fe_co5__eq_fe_c__-0.03,fe_co5,fe_co5_initial,equatorial_fe_c_distance_angstrom,negative,equatorial_fe_c_distance_angstrom,Equatorial Fe-C stretch,Stretches/compresses the three equatorial Fe-C bonds; probes TBP equatorial bonding.,-0.03,small,accepted,[],,False,not selected: another candidate in Equatorial Fe-C stretch was preferred for this system/sign slot
fe_co5__eq_fe_c__+0.03,fe_co5,fe_co5_initial,equatorial_fe_c_distance_angstrom,positive,equatorial_fe_c_distance_angstrom,Equatorial Fe-C stretch,Stretches/compresses the three equatorial Fe-C bonds; probes TBP equatorial bonding.,0.03,small,accepted,[],,False,not selected: another candidate in Equatorial Fe-C stretch was preferred for this system/sign slot
fe_co5__eq_fe_c__+0.06,fe_co5,fe_co5_initial,equatorial_fe_c_distance_angstrom,positive,equatorial_fe_c_distance_angstrom,Equatorial Fe-C stretch,Stretches/compresses the three equatorial Fe-C bonds; probes TBP equatorial bonding.,0.06,large,accepted,[],,True,"representative of Equatorial Fe-C stretch family (positive direction, largest accepted magnitude in this slot)"
fe_co5__eq_angle_perturb_deg__-6,fe_co5,fe_co5_initial,equatorial_angle_perturbation_degree,negative,equatorial_angle_perturbation_degree,Equatorial angle distortion,Breaks ideal 120-degree equatorial spacing; probes in-plane angular stiffness.,-6.0,small,accepted,[],,True,"representative of Equatorial angle distortion family (negative direction, largest accepted magnitude in this slot)"
fe_co5__eq_angle_perturb_deg__-3,fe_co5,fe_co5_initial,equatorial_angle_perturbation_degree,negative,equatorial_angle_perturbation_degree,Equatorial angle distortion,Breaks ideal 120-degree equatorial spacing; probes in-plane angular stiffness.,-3.0,small,accepted,[],,False,not selected: another candidate in Equatorial angle distortion was preferred for this system/sign slot
fe_co5__eq_angle_perturb_deg__+3,fe_co5,fe_co5_initial,equatorial_angle_perturbation_degree,positive,equatorial_angle_perturbation_degree,Equatorial angle distortion,Breaks ideal 120-degree equatorial spacing; probes in-plane angular stiffness.,3.0,small,accepted,[],,False,not selected: another candidate in Equatorial angle distortion was preferred for this system/sign slot
fe_co5__eq_angle_perturb_deg__+6,fe_co5,fe_co5_initial,equatorial_angle_perturbation_degree,positive,equatorial_angle_perturbation_degree,Equatorial angle distortion,Breaks ideal 120-degree equatorial spacing; probes in-plane angular stiffness.,6.0,small,accepted,[],,False,not selected: another candidate in Equatorial angle distortion was preferred for this system/sign slot
fe_co5__berry_tilt_deg__-20,fe_co5,fe_co5_initial,berry_like_distortion_coordinate_degree,negative,berry_like_distortion_coordinate_degree,Berry-pseudorotation-like tilt,"Heuristic local coordinate toward TBP<->square-pyramidal interconversion - NOT a validated reaction path, exploratory only.",-20.0,large,accepted,[],,False,excluded by design: heuristic/non-validated coordinate (see script 05 docstring) - deprioritized in favor of the 3 more standard stretch/angle families for fe_co5
fe_co5__berry_tilt_deg__-10,fe_co5,fe_co5_initial,berry_like_distortion_coordinate_degree,negative,berry_like_distortion_coordinate_degree,Berry-pseudorotation-like tilt,"Heuristic local coordinate toward TBP<->square-pyramidal interconversion - NOT a validated reaction path, exploratory only.",-10.0,small,accepted,[],,False,excluded by design: heuristic/non-validated coordinate (see script 05 docstring) - deprioritized in favor of the 3 more standard stretch/angle families for fe_co5
fe_co5__berry_tilt_deg__+10,fe_co5,fe_co5_initial,berry_like_distortion_coordinate_degree,positive,berry_like_distortion_coordinate_degree,Berry-pseudorotation-like tilt,"Heuristic local coordinate toward TBP<->square-pyramidal interconversion - NOT a validated reaction path, exploratory only.",10.0,small,accepted,[],,False,excluded by design: heuristic/non-validated coordinate (see script 05 docstring) - deprioritized in favor of the 3 more standard stretch/angle families for fe_co5
fe_co5__berry_tilt_deg__+20,fe_co5,fe_co5_initial,berry_like_distortion_coordinate_degree,positive,berry_like_distortion_coordinate_degree,Berry-pseudorotation-like tilt,"Heuristic local coordinate toward TBP<->square-pyramidal interconversion - NOT a validated reaction path, exploratory only.",20.0,large,accepted,[],,False,excluded by design: heuristic/non-validated coordinate (see script 05 docstring) - deprioritized in favor of the 3 more standard stretch/angle families for fe_co5
